datetime,direct_radiation,PM25_PED,PM10_PED,SO2_PED,O3_PED,NO2_PED,CO_PED,RH_PED,TMP_PED,WDR_PED,WSP_PED,is_festival,is_weekend,AirQualityIndex,station_name
10/12/2022 6:00:00,0,27,56,3,2,32,1.17,81,14,67,0.7,0,0,1,MER
10/9/2023 8:00:00,0,17,32,3,3,40,0.98,73,15.8,328,1.6,0,0,1,MER
2/1/2021 19:00:00,591,18,49,4,29,32,0.54,44,20.59166667,332,3.5,1,0,1,MER
11/21/2022 6:00:00,0,10,16,4,5,23,0.28,75,13.1,307,2.1,1,0,1,MER
11/15/2021 5:00:00,0,29,40,13,1,29,0.08,78,10.6,276,1.7,1,0,1,MER
2/12/2021 23:00:00,130,10,20,1,13,15,0.09,35,16.32291667,211,3.4,0,0,1,MER
6/21/2021 2:00:00,0,12,14,1,9,20,0.35,71,17.6,316,1.7,0,0,1,MER
6/24/2021 23:00:00,197,4,5,1,4,24,0.54,86,16.04583333,260,1,0,0,1,MER
7/29/2021 10:00:00,0,15,28,1,16,26,0.6,55,19.29166667,302,1.4,0,0,1,MER
8/25/2021 1:00:00,19,7,11,1,16,11,0.02,64,16.89375,342,3,0,0,1,MER
10/4/2021 7:00:00,0,8,11,1,1,22,0.55,80,15.6,357,1.4,0,0,1,MER
1/24/2022 23:00:00,277,8,14,1,16,18,0.18,50,15.3,222,1.9,0,0,1,MER
3/18/2022 2:00:00,0,8,25,1,5,31,0.5,42,17.7,178,1.4,0,0,1,MER
3/22/2022 23:00:00,208,11,29,1,7,37,0.54,22,20,196,1.9,0,0,1,MER
4/27/2022 16:00:00,522,11,42,1,64,23,0.37,26,24.9,305,2.7,0,0,1,MER
6/28/2022 16:00:00,207,8,14,1,24,25,0.46,69,18.1,331,3.3,0,0,1,MER
6/30/2022 3:00:00,0,13,19,1,24,12,0.01,66,16.6,308,1.8,0,0,1,MER
9/1/2022 4:00:00,0,10,16,1,7,17,0.07,75,17,309,2.5,0,0,1,MER
9/14/2022 1:00:00,8,10,16,1,21,11,0.12,71,16.4,328,3.1,0,0,1,MER
9/21/2022 13:00:00,8,20,30,1,58,15,0.22,40,21.4,39,2.4,0,0,1,MER
9/27/2022 6:00:00,0,6,10,1,14,23,0.24,79,13.8,359,2.8,0,0,1,MER
10/7/2022 5:00:00,0,8,15,1,2,25,0.18,78,14.4,3,0.8,0,0,1,MER
11/30/2022 22:00:00,179,10,29,1,9,29,0.36,56,16.8,325,3,0,0,1,MER
12/1/2022 14:00:00,48,23,36,1,47,23,0.4,34,20.9,318,1.9,0,0,1,MER
11/28/2023 21:00:00,495,3,14,1,9,25,0.48,59,18,336,3,0,0,1,MER
7/13/2021 1:00:00,52,16,25,1.041666667,13.47916667,23.33333333,0.2566666667,59,15.4,317,4.5,0,0,1,TLA
8/20/2021 8:00:00,0,20,43,31,5,24,0.86,66,13.8,323,1.4,0,0,1,TLA
7/26/2022 5:00:00,0,18,27,27,3,23,0.19,77,14,324,1.6,0,0,1,TLA
8/5/2022 6:00:00,0,23,38,17,7,26,0.3508333333,69,13.4,327,2.1,0,0,1,TLA
8/22/2022 4:00:00,0,12,20,25,15,12,0.2025,76,14.3,329,2.1,0,0,1,TLA
9/23/2022 4:00:00,0,18,25.0625,12.14583333,13,15,0.1891666667,71,14.1,335,2,0,0,1,TLA
12/21/2022 2:00:00,0,21,40,21,5,32,0.03,57,8.2,320,2.5,0,0,1,TLA
8/14/2023 4:00:00,0,9,14,3.5,27,17.5,0.154375,73,15.4,331,3,0,0,1,TLA
1/28/2021 10:00:00,0,11,40,2,25,21,0.39,59,11.9,327,3.5,0,0,1,TLA
2/12/2021 22:00:00,294,7,16,2,13,14,0.1,33,12.5,324,4,0,0,1,TLA
7/1/2021 7:00:00,0,18,27,2,2,27,0.56,81,14.4,326,2.5,0,0,1,TLA
8/24/2021 9:00:00,0,1,22,2,19,17,0.36,58,16.1,319,3.5,0,0,1,TLA
8/27/2021 2:00:00,0,9,16,2,13,14,0.02,68,13.6,328,3.4,0,0,1,TLA
11/19/2021 9:00:00,0,30.5,63.71875,2,5,35,0.63,69,12.5,328,2.3,0,0,1,TLA
1/24/2022 21:00:00,603,7,21,2,16,17,0.22,31,16.1,319,4.2,0,0,1,TLA
6/23/2022 9:00:00,0,8,34,2,8,22,0.58,58,14.3,323,3.6,0,0,1,TLA
7/4/2022 18:00:00,519,17.70833333,49,2,37,21,0.41,46,20.6,13,1.9,0,0,1,TLA
7/14/2022 5:00:00,0,16.625,30.67708333,2,37,21,0.17,67,14.4,24,1.5,0,0,1,TLA
9/13/2022 15:00:00,287,24,48,2,61,17,0.4220833333,34,22.4,350,3,0,0,1,TLA
9/14/2022 2:00:00,0,23,35,2,22,13,0.11875,67,14.9,331,2.8,0,0,1,TLA
12/1/2022 7:00:00,0,19,32,2,1,31,0.47,70,11.7,320,3.4,0,0,1,TLA
9/12/2023 4:00:00,0,18,29,2,19,21,0.08,72.375,14.37291667,345.125,2.772916667,0,0,1,TLA
3/2/2021 16:00:00,429,32,55,3,114,17.25,0.32,20,25.8,23,2.4,0,0,1,TLA
7/14/2021 12:00:00,0,34,67,3,37,26,0.48,48,18,1,2.6,0,0,1,TLA
10/21/2021 14:00:00,21,13,47,3,28,12,0.26,46,21,348,4.6,0,0,1,TLA
11/23/2021 3:00:00,0,13.64583333,38,3,19,10,0,66,12.9,342,2.6,0,0,1,TLA
2/1/2022 0:00:00,87,13,29,3,7,26,0.29,44,14.5,336,1.1,0,0,1,TLA
5/27/2022 21:00:00,801,23,62,3,32,17,0.17,40,19.4,345,5.7,0,0,1,TLA
6/1/2022 6:00:00,0,11,32,3,3,30,0.35,65,14.4,331,2.7,0,0,1,TLA
8/3/2022 2:00:00,0,14,35,3,11,20,0.0525,71,15.5,343,2.6,0,0,1,TLA
9/15/2022 7:00:00,0,10,26,3,4,28,0.5479166667,69,14.9,325,3.4,0,0,1,TLA
3/29/2023 7:00:00,0,40,72,3,1,29,0.85,71,12.8,342,0.8,0,0,1,TLA
8/23/2023 3:00:00,0,14,24,3,19,17,0.09,68,15.5,333,3.5,0,0,1,TLA
